text,label
how are you.,unclear
I need a reminder to take a break,reminder
disable posture reminder,cancel_specific
Remind me to water the plants after 3 min,reminder
Remind me to do laundry,reminder
remove gym reminder,cancel_specific
i want to wipe all reminders,cancel_all
The call is at 5pm,save
delete my meeting reminder,cancel_specific
thanks!,unclear
please stop workout reminder,cancel_specific
JUST JUST CANCEL ALL REMINDERS NOW,cancel_all
I stored my keys in the front pocket,save
camera is in the kitchen,save
stop reminding me about daily,cancel_specific
just get rid of all reminders,cancel_all
stand up every 2 minutes,reminder
um.,unclear
quickly stop all recurring reminders,cancel_all
do laundry reminder every 45 min,reminder
I need to turn off all alarms for me,cancel_all
Recurring reminder every 10 minutes to drink water,reminder
Ehh.,unclear
please delete rent reminder,cancel_specific
COULD YOU CLEAR ALL OF THEM RIGHT NOW,cancel_all
My anniversary is 13575654,save
In 60 minute remind me to feed the pet,reminder
I stored my passport in the pocket,save
Reminder at 7pm to study,reminder
Note that train is at 2pm,save
Tom has my remote,save
remove walk reminder,cancel_specific
Remind me to meditate after 20 hour,reminder
can you delete the hourly reminder,cancel_specific
After 15 hrs remind me to drink water,reminder
please stop meditation reminder,cancel_specific
I parked my tablet in bag,save
Wake me up at 12pm,reminder
45 hour reminder to buy groceries,reminder
After 10 minute remind me to stretch,reminder
The power bank is in the bag,save
My interview is tomorrow,save
PIN for office WiFi is 1234,save
Where's my charger?,search
I WANT TO CAN YOU STOP ALL REMINDERS PLEASE,cancel_all
I owe dad 2000 rupees,save
Password for Amazon is qwerty,save
delete that reading reminder,cancel_specific
What's office WiFi password?,search
can you remove the dinner reminder,cancel_specific
I don't want the rent reminder anymore,cancel_specific
cancel that evening reminder,cancel_specific
The medicine is in the bag,save
delete my rent reminder,cancel_specific
Reminder in 30 hr to meditate,reminder
I borrowed the debit card from Mike,save
stop reminding me about hydration,cancel_specific
I gave my headphones to Tom,save
remove my daily reminder,cancel_specific
Please find my iPad,search
I borrowed the iPad from Mike,save
Nothing!,unclear
Where did I put my credit card?,search
can.,unclear
The car keys is in the closet,save
don't remind me about vitamins anymore,cancel_specific
Remind me to call mom at 2pm,reminder
I borrowed 100 from colleague,save
remove dinner reminder,cancel_specific
I need to find my glasses,search
delete that break reminder,cancel_specific
mom's birthday is 43213717,save
Do you have info about bike keys?,search
read in 30 hrs,reminder
Quickly cancel everything,cancel_all
i want to delete all of them please,cancel_all
Locate my TV remote,search
delete my lunch reminder,cancel_specific
Password for Spotify is password123,save
I stored my house keys in the rack,save
My phone number is 43218618,save
neighbor's birthday is 98767560,save
I stored my mouse in the safe,save
wow?,unclear
Have I saved anything about watch?,search
